Weapon
攻撃	プレイヤーの攻撃力を上げる。
攻めの守勢	タイミング良くガードを成功させると、一定時間、攻撃力が上がる。
見切り	会心率がＵＰする。
超会心	会心攻撃のダメージが増加する。
抜刀術【技】	武器出し行動の後、一定時間、会心率が上がる。（騎乗中は発動しません）
火属性攻撃強化	火属性の力を強化する。（武器の属性値の強化には、　上限があります）
水属性攻撃強化	水属性の力を強化する。（武器の属性値の強化には、　上限があります）
氷属性攻撃強化	氷属性の力を強化する。（武器の属性値の強化には、　上限があります）
雷属性攻撃強化	雷属性の力を強化する。（武器の属性値の強化には、　上限があります）
龍属性攻撃強化	龍属性の力を強化する。（武器の属性値の強化には、　上限があります）
毒属性強化	毒属性の蓄積値を強化する。（武器の属性値の強化には、　上限があります）
麻痺属性強化	麻痺属性の蓄積値を強化する。（武器の属性値の強化には、　上限があります）
睡眠属性強化	睡眠属性の蓄積値を強化する。（武器の属性値の強化には、　上限があります）
爆破属性強化	爆破属性の蓄積値を強化する。（武器の属性値の強化には、　上限があります）
会心撃【属性】	攻撃で会心が発生した際に、与える属性ダメージ（火、水、雷、氷、龍）が高くなる。
会心撃【特殊】	攻撃で会心が発生した際に、与える状態異常値（麻痺、毒、睡眠、爆破）が高くなる。
チャージマスター	溜め攻撃の属性値と状態異常蓄積値が上がる。
匠	武器の斬れ味ゲージが長くなる。ただし、斬れ味ゲージの限界以上には長くならない。
業物	斬れ味の消耗を抑える。
剛刃研磨	武器を研磨すると一定時間、斬れ味が下がらなくなる。
心眼	攻撃が弾かれ辛くなり、硬い部位へのダメージが上がる。
鈍器使い	斬れ味が悪いとき攻撃力が上がる。
達人芸	会心発生時、斬れ味の消費を抑える。
通常弾・通常矢強化	ボウガンの通常弾または弓の通常射撃、飛燕射ちの攻撃力が上がる。
貫通弾・竜の矢強化	ボウガンの貫通弾または弓の竜の一矢、竜の千々矢の攻撃力が上がる。
散弾・剛射強化	ボウガンの散弾または弓の剛射、クイックショットの攻撃力が上がる。
弾導強化	弾・矢の最大威力状態になる距離が広くなる。
